[3d-nfsd] touchtechpayments.com:2323
[unieng] touchtechpayments.com:5730
[univ-appserver] touchtechpayments.com:1233
[unizensus] touchtechpayments.com:1151
[unknown] touchtechpayments.com:10012
[unknown] touchtechpayments.com:10024
[unknown] touchtechpayments.com:10025
[unknown] touchtechpayments.com:1007
[unknown] touchtechpayments.com:1009
[unknown] touchtechpayments.com:1011
[unknown] touchtechpayments.com:10180
[unknown] touchtechpayments.com:10215
[unknown] touchtechpayments.com:10243
[unknown] touchtechpayments.com:1028
[unknown] touchtechpayments.com:10566
[unknown] touchtechpayments.com:10616
[unknown] touchtechpayments.com:10617
[unknown] touchtechpayments.com:10621
[unknown] touchtechpayments.com:10626
[unknown] touchtechpayments.com:10628
[unknown] touchtechpayments.com:10629
[unknown] touchtechpayments.com:10778
[unknown] touchtechpayments.com:12174
[unknown] touchtechpayments.com:12265
[unknown] touchtechpayments.com:13456
[unknown] touchtechpayments.com:14238
[unknown] touchtechpayments.com:14441
[unknown] touchtechpayments.com:14442
[unknown] touchtechpayments.com:15003
[unknown] touchtechpayments.com:15004
[unknown] touchtechpayments.com:15742
[unknown] touchtechpayments.com:16012
[unknown] touchtechpayments.com:16016
[unknown] touchtechpayments.com:16018
[unknown] touchtechpayments.com:16113
[unknown] touchtechpayments.com:1783
[unknown] touchtechpayments.com:17877
[unknown] touchtechpayments.com:17988
[unknown] touchtechpayments.com:18040
[unknown] touchtechpayments.com:18101
[unknown] touchtechpayments.com:18988
[unknown] touchtechpayments.com:19101
[unknown] touchtechpayments.com:19350
[unknown] touchtechpayments.com:19780
[unknown] touchtechpayments.com:19801
[unknown] touchtechpayments.com:19842
[unknown] touchtechpayments.com:20031
[unknown] touchtechpayments.com:20221
[unknown] touchtechpayments.com:20828
[unknown] touchtechpayments.com:21571
[unknown] touchtechpayments.com:2196
[unknown] touchtechpayments.com:22939
[unknown] touchtechpayments.com:23502
[unknown] touchtechpayments.com:24444
[unknown] touchtechpayments.com:24800
[unknown] touchtechpayments.com:254
[unknown] touchtechpayments.com:255
[unknown] touchtechpayments.com:25734
[unknown] touchtechpayments.com:25735
[unknown] touchtechpayments.com:26214
[unknown] touchtechpayments.com:27352
[unknown] touchtechpayments.com:27353
[unknown] touchtechpayments.com:27355
[unknown] touchtechpayments.com:27356
[unknown] touchtechpayments.com:27715
[unknown] touchtechpayments.com:28201
[unknown] touchtechpayments.com:30
[unknown] touchtechpayments.com:301
[unknown] touchtechpayments.com:306
[unknown] touchtechpayments.com:30718
[unknown] touchtechpayments.com:30951
[unknown] touchtechpayments.com:31038
[unknown] touchtechpayments.com:32
[unknown] touchtechpayments.com:32781
[unknown] touchtechpayments.com:32782
[unknown] touchtechpayments.com:32783
[unknown] touchtechpayments.com:32784
[unknown] touchtechpayments.com:32785
[unknown] touchtechpayments.com:3301
[unknown] touchtechpayments.com:33354
[unknown] touchtechpayments.com:33899
[unknown] touchtechpayments.com:340
[unknown] touchtechpayments.com:3404
[unknown] touchtechpayments.com:34571
[unknown] touchtechpayments.com:34572
[unknown] touchtechpayments.com:34573
[unknown] touchtechpayments.com:3546
[unknown] touchtechpayments.com:35500
[unknown] touchtechpayments.com:4
[unknown] touchtechpayments.com:40193
[unknown] touchtechpayments.com:40911
[unknown] touchtechpayments.com:41511
[unknown] touchtechpayments.com:44176
[unknown] touchtechpayments.com:44501
[unknown] touchtechpayments.com:45100
[unknown] touchtechpayments.com:48080
[unknown] touchtechpayments.com:49152
[unknown] touchtechpayments.com:49153
[unknown] touchtechpayments.com:49154
[unknown] touchtechpayments.com:49155
[unknown] touchtechpayments.com:49156
[unknown] touchtechpayments.com:49157
[unknown] touchtechpayments.com:49158
[unknown] touchtechpayments.com:49159
[unknown] touchtechpayments.com:49160
[unknown] touchtechpayments.com:49161
[unknown] touchtechpayments.com:49163
[unknown] touchtechpayments.com:49165
[unknown] touchtechpayments.com:49167
[unknown] touchtechpayments.com:49175
[unknown] touchtechpayments.com:49176
[unknown] touchtechpayments.com:49999
[unknown] touchtechpayments.com:50001
[unknown] touchtechpayments.com:50003
[unknown] touchtechpayments.com:50006
[unknown] touchtechpayments.com:50300
[unknown] touchtechpayments.com:50389
[unknown] touchtechpayments.com:50500
[unknown] touchtechpayments.com:50636
[unknown] touchtechpayments.com:50800
[unknown] touchtechpayments.com:51103
[unknown] touchtechpayments.com:51493
[unknown] touchtechpayments.com:5214
[unknown] touchtechpayments.com:52673
[unknown] touchtechpayments.com:52822
[unknown] touchtechpayments.com:52848
[unknown] touchtechpayments.com:52869
[unknown] touchtechpayments.com:54045
[unknown] touchtechpayments.com:54328
[unknown] touchtechpayments.com:5440
[unknown] touchtechpayments.com:55055
[unknown] touchtechpayments.com:55056
[unknown] touchtechpayments.com:5544
[unknown] touchtechpayments.com:55555
[unknown] touchtechpayments.com:55600
[unknown] touchtechpayments.com:56737
[unknown] touchtechpayments.com:56738
[unknown] touchtechpayments.com:57294
[unknown] touchtechpayments.com:57797
[unknown] touchtechpayments.com:58080
[unknown] touchtechpayments.com:5810
[unknown] touchtechpayments.com:5811
[unknown] touchtechpayments.com:5815
[unknown] touchtechpayments.com:5822
[unknown] touchtechpayments.com:5825
[unknown] touchtechpayments.com:5850
[unknown] touchtechpayments.com:5862
[unknown] touchtechpayments.com:5877
[unknown] touchtechpayments.com:5904
[unknown] touchtechpayments.com:5906
[unknown] touchtechpayments.com:5907
[unknown] touchtechpayments.com:5915
[unknown] touchtechpayments.com:5922
[unknown] touchtechpayments.com:5925
[unknown] touchtechpayments.com:5950
[unknown] touchtechpayments.com:5952
[unknown] touchtechpayments.com:5959
[unknown] touchtechpayments.com:5960
[unknown] touchtechpayments.com:5961
[unknown] touchtechpayments.com:5962
[unknown] touchtechpayments.com:6
[unknown] touchtechpayments.com:60020
[unknown] touchtechpayments.com:60443
[unknown] touchtechpayments.com:6129
[unknown] touchtechpayments.com:61532
[unknown] touchtechpayments.com:6156
[unknown] touchtechpayments.com:61900
[unknown] touchtechpayments.com:63331
[unknown] touchtechpayments.com:64623
[unknown] touchtechpayments.com:64680
[unknown] touchtechpayments.com:65000
[unknown] touchtechpayments.com:65129
[unknown] touchtechpayments.com:65389
[unknown] touchtechpayments.com:6565
[unknown] touchtechpayments.com:6646
[unknown] touchtechpayments.com:6692
[unknown] touchtechpayments.com:6779
[unknown] touchtechpayments.com:6792
[unknown] touchtechpayments.com:6839
[unknown] touchtechpayments.com:7103
[unknown] touchtechpayments.com:7106
[unknown] touchtechpayments.com:720
[unknown] touchtechpayments.com:722
[unknown] touchtechpayments.com:726
[unknown] touchtechpayments.com:7435
[unknown] touchtechpayments.com:7496
[unknown] touchtechpayments.com:7512
[unknown] touchtechpayments.com:7625
[unknown] touchtechpayments.com:7911
[unknown] touchtechpayments.com:7920
[unknown] touchtechpayments.com:7921
[unknown] touchtechpayments.com:8011
[unknown] touchtechpayments.com:8031
[unknown] touchtechpayments.com:8045
[unknown] touchtechpayments.com:8084
[unknown] touchtechpayments.com:8085
[unknown] touchtechpayments.com:8089
[unknown] touchtechpayments.com:8093
[unknown] touchtechpayments.com:8099
[unknown] touchtechpayments.com:8180
[unknown] touchtechpayments.com:8222
[unknown] touchtechpayments.com:8254
[unknown] touchtechpayments.com:8290
[unknown] touchtechpayments.com:8291
[unknown] touchtechpayments.com:843
[unknown] touchtechpayments.com:8649
[unknown] touchtechpayments.com:8651
[unknown] touchtechpayments.com:8652
[unknown] touchtechpayments.com:8654
[unknown] touchtechpayments.com:8701
[unknown] touchtechpayments.com:880
[unknown] touchtechpayments.com:8994
[unknown] touchtechpayments.com:9003
[unknown] touchtechpayments.com:9071
[unknown] touchtechpayments.com:9099
[unknown] touchtechpayments.com:9110
[unknown] touchtechpayments.com:9220
[unknown] touchtechpayments.com:9290
[unknown] touchtechpayments.com:9415
[unknown] touchtechpayments.com:9485
[unknown] touchtechpayments.com:9502
[unknown] touchtechpayments.com:9503
[unknown] touchtechpayments.com:9575
[unknown] touchtechpayments.com:981
[unknown] touchtechpayments.com:987
[unknown] touchtechpayments.com:9877
[unknown] touchtechpayments.com:9917
[unknown] touchtechpayments.com:9943
[unknown] touchtechpayments.com:9944
[unknown] touchtechpayments.com:9968
[upnotifyp] touchtechpayments.com:4445
[upnp] touchtechpayments.com:1900
[upnp] touchtechpayments.com:5000
[us-srv] touchtechpayments.com:8083
[uucp-rlogin] touchtechpayments.com:541
[vce] touchtechpayments.com:11111
[vcom-tunnel] touchtechpayments.com:8001
[veracity] touchtechpayments.com:1062
[veritas_pbx] touchtechpayments.com:1556
[vfo] touchtechpayments.com:1056
[virtual-places] touchtechpayments.com:1533
[visionpyramid] touchtechpayments.com:1247
[vlsi-lm] touchtechpayments.com:1500
[vmrdp] touchtechpayments.com:2179
[vmsvc-2] touchtechpayments.com:7025
[vnc-1] touchtechpayments.com:5901
[vnc-2] touchtechpayments.com:5902
[vnc-3] touchtechpayments.com:5903
[vnc-http-1] touchtechpayments.com:5801
[vnc-http-2] touchtechpayments.com:5802
[vnc-http] touchtechpayments.com:5800
[vnc] touchtechpayments.com:5900
[vrml-multi-use] touchtechpayments.com:4242
[vrml-multi-use] touchtechpayments.com:4279
[wag-service] touchtechpayments.com:2608
[wap-vcal-s] touchtechpayments.com:9207
[wap-wsp] touchtechpayments.com:9200
[warmspotMgmt] touchtechpayments.com:1074
[wbem-https] touchtechpayments.com:5989
[wbem-http] touchtechpayments.com:5988
[wbem-rmi] touchtechpayments.com:5987
[webobjects] touchtechpayments.com:1085
[webpush] touchtechpayments.com:1001
[webster] touchtechpayments.com:765
[westec-connect] touchtechpayments.com:5566
[westell-stats] touchtechpayments.com:1875
[wfremotertm] touchtechpayments.com:1046
[wherehoo] touchtechpayments.com:5859
[whois] touchtechpayments.com:43
[windb] touchtechpayments.com:2522
[windows-icfw] touchtechpayments.com:1002
[winpoplanmess] touchtechpayments.com:1152
[winshadow] touchtechpayments.com:3261
[wms] touchtechpayments.com:1755
[wormux] touchtechpayments.com:3826
[writesrv] touchtechpayments.com:1334
[wsdapi] touchtechpayments.com:5357
[X11:1] touchtechpayments.com:6001
[X11:2] touchtechpayments.com:6002
[X11:3] touchtechpayments.com:6003
[X11:4] touchtechpayments.com:6004
[X11:59] touchtechpayments.com:6059
[X11:5] touchtechpayments.com:6005
[X11:6] touchtechpayments.com:6006
[X11:7] touchtechpayments.com:6007
[X11:9] touchtechpayments.com:6009
[X11] touchtechpayments.com:6000
[x11] touchtechpayments.com:6025
[x25-svc-port] touchtechpayments.com:1998
[x9-icue] touchtechpayments.com:1145
[xact-backup] touchtechpayments.com:911
[xfer] touchtechpayments.com:82
[xgrid] touchtechpayments.com:4111
[xinupageserver] touchtechpayments.com:2020
[xmltec-xmlmail] touchtechpayments.com:9091
[xmpp-bosh] touchtechpayments.com:5280
[xmpp-client] touchtechpayments.com:5222
[xmpp-server] touchtechpayments.com:5269
[xmpp] touchtechpayments.com:8010
[xnm-clear-text] touchtechpayments.com:3221
[xpanel] touchtechpayments.com:3737
[xprint-server] touchtechpayments.com:8100
[xrl] touchtechpayments.com:1104
[xtell] touchtechpayments.com:4224
[zebra] touchtechpayments.com:2601
[zephyr-clt] touchtechpayments.com:2103
[zeus-admin] touchtechpayments.com:9090
[zincite-a] touchtechpayments.com:1034
[zoomcp] touchtechpayments.com:9666
